"disease","year","age","country","country_name","run_number","cohort_size","deaths","cases","deaths_mening","deaths_pneumo","cases_mening","cases_pneumo"
"Hib",2000,0,"PAK","Pakistan","","","","","","","",""
"Hib",2001,0,"PAK","Pakistan","","","","","","","",""
"Hib",2002,0,"PAK","Pakistan","","","","","","","",""
"Hib",2003,0,"PAK","Pakistan","","","","","","","",""
"Hib",2004,0,"PAK","Pakistan","","","","","","","",""
"Hib",2005,0,"PAK","Pakistan","","","","","","","",""
"Hib",2006,0,"PAK","Pakistan","","","","","","","",""
"Hib",2007,0,"PAK","Pakistan","","","","","","","",""
"Hib",2008,0,"PAK","Pakistan","","","","","","","",""
"Hib",2009,0,"PAK","Pakistan","","","","","","","",""
"Hib",2010,0,"PAK","Pakistan","","","","","","","",""
"Hib",2011,0,"PAK","Pakistan","","","","","","","",""
"Hib",2012,0,"PAK","Pakistan","","","","","","","",""
"Hib",2013,0,"PAK","Pakistan","","","","","","","",""
"Hib",2014,0,"PAK","Pakistan","","","","","","","",""
"Hib",2015,0,"PAK","Pakistan","","","","","","","",""
"Hib",2016,0,"PAK","Pakistan","","","","","","","",""
"Hib",2017,0,"PAK","Pakistan","","","","","","","",""
"Hib",2018,0,"PAK","Pakistan","","","","","","","",""
"Hib",2019,0,"PAK","Pakistan","","","","","","","",""
"Hib",2020,0,"PAK","Pakistan","","","","","","","",""
"Hib",2021,0,"PAK","Pakistan","","","","","","","",""
"Hib",2022,0,"PAK","Pakistan","","","","","","","",""
"Hib",2023,0,"PAK","Pakistan","","","","","","","",""
"Hib",2024,0,"PAK","Pakistan","","","","","","","",""
"Hib",2025,0,"PAK","Pakistan","","","","","","","",""
"Hib",2026,0,"PAK","Pakistan","","","","","","","",""
"Hib",2027,0,"PAK","Pakistan","","","","","","","",""
"Hib",2028,0,"PAK","Pakistan","","","","","","","",""
"Hib",2029,0,"PAK","Pakistan","","","","","","","",""
"Hib",2030,0,"PAK","Pakistan","","","","","","","",""
"Hib",2031,0,"PAK","Pakistan","","","","","","","",""
"Hib",2032,0,"PAK","Pakistan","","","","","","","",""
"Hib",2033,0,"PAK","Pakistan","","","","","","","",""
"Hib",2034,0,"PAK","Pakistan","","","","","","","",""
"Hib",2000,1,"PAK","Pakistan","","","","","","","",""
"Hib",2001,1,"PAK","Pakistan","","","","","","","",""
"Hib",2002,1,"PAK","Pakistan","","","","","","","",""
"Hib",2003,1,"PAK","Pakistan","","","","","","","",""
"Hib",2004,1,"PAK","Pakistan","","","","","","","",""
"Hib",2005,1,"PAK","Pakistan","","","","","","","",""
"Hib",2006,1,"PAK","Pakistan","","","","","","","",""
"Hib",2007,1,"PAK","Pakistan","","","","","","","",""
"Hib",2008,1,"PAK","Pakistan","","","","","","","",""
"Hib",2009,1,"PAK","Pakistan","","","","","","","",""
"Hib",2010,1,"PAK","Pakistan","","","","","","","",""
"Hib",2011,1,"PAK","Pakistan","","","","","","","",""
"Hib",2012,1,"PAK","Pakistan","","","","","","","",""
"Hib",2013,1,"PAK","Pakistan","","","","","","","",""
"Hib",2014,1,"PAK","Pakistan","","","","","","","",""
"Hib",2015,1,"PAK","Pakistan","","","","","","","",""
"Hib",2016,1,"PAK","Pakistan","","","","","","","",""
"Hib",2017,1,"PAK","Pakistan","","","","","","","",""
"Hib",2018,1,"PAK","Pakistan","","","","","","","",""
"Hib",2019,1,"PAK","Pakistan","","","","","","","",""
"Hib",2020,1,"PAK","Pakistan","","","","","","","",""
"Hib",2021,1,"PAK","Pakistan","","","","","","","",""
"Hib",2022,1,"PAK","Pakistan","","","","","","","",""
"Hib",2023,1,"PAK","Pakistan","","","","","","","",""
"Hib",2024,1,"PAK","Pakistan","","","","","","","",""
"Hib",2025,1,"PAK","Pakistan","","","","","","","",""
"Hib",2026,1,"PAK","Pakistan","","","","","","","",""
"Hib",2027,1,"PAK","Pakistan","","","","","","","",""
"Hib",2028,1,"PAK","Pakistan","","","","","","","",""
"Hib",2029,1,"PAK","Pakistan","","","","","","","",""
"Hib",2030,1,"PAK","Pakistan","","","","","","","",""
"Hib",2031,1,"PAK","Pakistan","","","","","","","",""
"Hib",2032,1,"PAK","Pakistan","","","","","","","",""
"Hib",2033,1,"PAK","Pakistan","","","","","","","",""
"Hib",2034,1,"PAK","Pakistan","","","","","","","",""
"Hib",2000,2,"PAK","Pakistan","","","","","","","",""
"Hib",2001,2,"PAK","Pakistan","","","","","","","",""
"Hib",2002,2,"PAK","Pakistan","","","","","","","",""
"Hib",2003,2,"PAK","Pakistan","","","","","","","",""
"Hib",2004,2,"PAK","Pakistan","","","","","","","",""
"Hib",2005,2,"PAK","Pakistan","","","","","","","",""
"Hib",2006,2,"PAK","Pakistan","","","","","","","",""
"Hib",2007,2,"PAK","Pakistan","","","","","","","",""
"Hib",2008,2,"PAK","Pakistan","","","","","","","",""
"Hib",2009,2,"PAK","Pakistan","","","","","","","",""
"Hib",2010,2,"PAK","Pakistan","","","","","","","",""
"Hib",2011,2,"PAK","Pakistan","","","","","","","",""
"Hib",2012,2,"PAK","Pakistan","","","","","","","",""
"Hib",2013,2,"PAK","Pakistan","","","","","","","",""
"Hib",2014,2,"PAK","Pakistan","","","","","","","",""
"Hib",2015,2,"PAK","Pakistan","","","","","","","",""
"Hib",2016,2,"PAK","Pakistan","","","","","","","",""
"Hib",2017,2,"PAK","Pakistan","","","","","","","",""
"Hib",2018,2,"PAK","Pakistan","","","","","","","",""
"Hib",2019,2,"PAK","Pakistan","","","","","","","",""
"Hib",2020,2,"PAK","Pakistan","","","","","","","",""
"Hib",2021,2,"PAK","Pakistan","","","","","","","",""
"Hib",2022,2,"PAK","Pakistan","","","","","","","",""
"Hib",2023,2,"PAK","Pakistan","","","","","","","",""
"Hib",2024,2,"PAK","Pakistan","","","","","","","",""
"Hib",2025,2,"PAK","Pakistan","","","","","","","",""
"Hib",2026,2,"PAK","Pakistan","","","","","","","",""
"Hib",2027,2,"PAK","Pakistan","","","","","","","",""
"Hib",2028,2,"PAK","Pakistan","","","","","","","",""
"Hib",2029,2,"PAK","Pakistan","","","","","","","",""
"Hib",2030,2,"PAK","Pakistan","","","","","","","",""
"Hib",2031,2,"PAK","Pakistan","","","","","","","",""
"Hib",2032,2,"PAK","Pakistan","","","","","","","",""
"Hib",2033,2,"PAK","Pakistan","","","","","","","",""
"Hib",2034,2,"PAK","Pakistan","","","","","","","",""
"Hib",2000,3,"PAK","Pakistan","","","","","","","",""
"Hib",2001,3,"PAK","Pakistan","","","","","","","",""
"Hib",2002,3,"PAK","Pakistan","","","","","","","",""
"Hib",2003,3,"PAK","Pakistan","","","","","","","",""
"Hib",2004,3,"PAK","Pakistan","","","","","","","",""
"Hib",2005,3,"PAK","Pakistan","","","","","","","",""
"Hib",2006,3,"PAK","Pakistan","","","","","","","",""
"Hib",2007,3,"PAK","Pakistan","","","","","","","",""
"Hib",2008,3,"PAK","Pakistan","","","","","","","",""
"Hib",2009,3,"PAK","Pakistan","","","","","","","",""
"Hib",2010,3,"PAK","Pakistan","","","","","","","",""
"Hib",2011,3,"PAK","Pakistan","","","","","","","",""
"Hib",2012,3,"PAK","Pakistan","","","","","","","",""
"Hib",2013,3,"PAK","Pakistan","","","","","","","",""
"Hib",2014,3,"PAK","Pakistan","","","","","","","",""
"Hib",2015,3,"PAK","Pakistan","","","","","","","",""
"Hib",2016,3,"PAK","Pakistan","","","","","","","",""
"Hib",2017,3,"PAK","Pakistan","","","","","","","",""
"Hib",2018,3,"PAK","Pakistan","","","","","","","",""
"Hib",2019,3,"PAK","Pakistan","","","","","","","",""
"Hib",2020,3,"PAK","Pakistan","","","","","","","",""
"Hib",2021,3,"PAK","Pakistan","","","","","","","",""
"Hib",2022,3,"PAK","Pakistan","","","","","","","",""
"Hib",2023,3,"PAK","Pakistan","","","","","","","",""
"Hib",2024,3,"PAK","Pakistan","","","","","","","",""
"Hib",2025,3,"PAK","Pakistan","","","","","","","",""
"Hib",2026,3,"PAK","Pakistan","","","","","","","",""
"Hib",2027,3,"PAK","Pakistan","","","","","","","",""
"Hib",2028,3,"PAK","Pakistan","","","","","","","",""
"Hib",2029,3,"PAK","Pakistan","","","","","","","",""
"Hib",2030,3,"PAK","Pakistan","","","","","","","",""
"Hib",2031,3,"PAK","Pakistan","","","","","","","",""
"Hib",2032,3,"PAK","Pakistan","","","","","","","",""
"Hib",2033,3,"PAK","Pakistan","","","","","","","",""
"Hib",2034,3,"PAK","Pakistan","","","","","","","",""
"Hib",2000,4,"PAK","Pakistan","","","","","","","",""
"Hib",2001,4,"PAK","Pakistan","","","","","","","",""
"Hib",2002,4,"PAK","Pakistan","","","","","","","",""
"Hib",2003,4,"PAK","Pakistan","","","","","","","",""
"Hib",2004,4,"PAK","Pakistan","","","","","","","",""
"Hib",2005,4,"PAK","Pakistan","","","","","","","",""
"Hib",2006,4,"PAK","Pakistan","","","","","","","",""
"Hib",2007,4,"PAK","Pakistan","","","","","","","",""
"Hib",2008,4,"PAK","Pakistan","","","","","","","",""
"Hib",2009,4,"PAK","Pakistan","","","","","","","",""
"Hib",2010,4,"PAK","Pakistan","","","","","","","",""
"Hib",2011,4,"PAK","Pakistan","","","","","","","",""
"Hib",2012,4,"PAK","Pakistan","","","","","","","",""
"Hib",2013,4,"PAK","Pakistan","","","","","","","",""
"Hib",2014,4,"PAK","Pakistan","","","","","","","",""
"Hib",2015,4,"PAK","Pakistan","","","","","","","",""
"Hib",2016,4,"PAK","Pakistan","","","","","","","",""
"Hib",2017,4,"PAK","Pakistan","","","","","","","",""
"Hib",2018,4,"PAK","Pakistan","","","","","","","",""
"Hib",2019,4,"PAK","Pakistan","","","","","","","",""
"Hib",2020,4,"PAK","Pakistan","","","","","","","",""
"Hib",2021,4,"PAK","Pakistan","","","","","","","",""
"Hib",2022,4,"PAK","Pakistan","","","","","","","",""
"Hib",2023,4,"PAK","Pakistan","","","","","","","",""
"Hib",2024,4,"PAK","Pakistan","","","","","","","",""
"Hib",2025,4,"PAK","Pakistan","","","","","","","",""
"Hib",2026,4,"PAK","Pakistan","","","","","","","",""
"Hib",2027,4,"PAK","Pakistan","","","","","","","",""
"Hib",2028,4,"PAK","Pakistan","","","","","","","",""
"Hib",2029,4,"PAK","Pakistan","","","","","","","",""
"Hib",2030,4,"PAK","Pakistan","","","","","","","",""
"Hib",2031,4,"PAK","Pakistan","","","","","","","",""
"Hib",2032,4,"PAK","Pakistan","","","","","","","",""
"Hib",2033,4,"PAK","Pakistan","","","","","","","",""
"Hib",2034,4,"PAK","Pakistan","","","","","","","",""
"Hib",2000,0,"IND","India","","","","","","","",""
"Hib",2001,0,"IND","India","","","","","","","",""
"Hib",2002,0,"IND","India","","","","","","","",""
"Hib",2003,0,"IND","India","","","","","","","",""
"Hib",2004,0,"IND","India","","","","","","","",""
"Hib",2005,0,"IND","India","","","","","","","",""
"Hib",2006,0,"IND","India","","","","","","","",""
"Hib",2007,0,"IND","India","","","","","","","",""
"Hib",2008,0,"IND","India","","","","","","","",""
"Hib",2009,0,"IND","India","","","","","","","",""
"Hib",2010,0,"IND","India","","","","","","","",""
"Hib",2011,0,"IND","India","","","","","","","",""
"Hib",2012,0,"IND","India","","","","","","","",""
"Hib",2013,0,"IND","India","","","","","","","",""
"Hib",2014,0,"IND","India","","","","","","","",""
"Hib",2015,0,"IND","India","","","","","","","",""
"Hib",2016,0,"IND","India","","","","","","","",""
"Hib",2017,0,"IND","India","","","","","","","",""
"Hib",2018,0,"IND","India","","","","","","","",""
"Hib",2019,0,"IND","India","","","","","","","",""
"Hib",2020,0,"IND","India","","","","","","","",""
"Hib",2021,0,"IND","India","","","","","","","",""
"Hib",2022,0,"IND","India","","","","","","","",""
"Hib",2023,0,"IND","India","","","","","","","",""
"Hib",2024,0,"IND","India","","","","","","","",""
"Hib",2025,0,"IND","India","","","","","","","",""
"Hib",2026,0,"IND","India","","","","","","","",""
"Hib",2027,0,"IND","India","","","","","","","",""
"Hib",2028,0,"IND","India","","","","","","","",""
"Hib",2029,0,"IND","India","","","","","","","",""
"Hib",2030,0,"IND","India","","","","","","","",""
"Hib",2031,0,"IND","India","","","","","","","",""
"Hib",2032,0,"IND","India","","","","","","","",""
"Hib",2033,0,"IND","India","","","","","","","",""
"Hib",2034,0,"IND","India","","","","","","","",""
"Hib",2000,1,"IND","India","","","","","","","",""
"Hib",2001,1,"IND","India","","","","","","","",""
"Hib",2002,1,"IND","India","","","","","","","",""
"Hib",2003,1,"IND","India","","","","","","","",""
"Hib",2004,1,"IND","India","","","","","","","",""
"Hib",2005,1,"IND","India","","","","","","","",""
"Hib",2006,1,"IND","India","","","","","","","",""
"Hib",2007,1,"IND","India","","","","","","","",""
"Hib",2008,1,"IND","India","","","","","","","",""
"Hib",2009,1,"IND","India","","","","","","","",""
"Hib",2010,1,"IND","India","","","","","","","",""
"Hib",2011,1,"IND","India","","","","","","","",""
"Hib",2012,1,"IND","India","","","","","","","",""
"Hib",2013,1,"IND","India","","","","","","","",""
"Hib",2014,1,"IND","India","","","","","","","",""
"Hib",2015,1,"IND","India","","","","","","","",""
"Hib",2016,1,"IND","India","","","","","","","",""
"Hib",2017,1,"IND","India","","","","","","","",""
"Hib",2018,1,"IND","India","","","","","","","",""
"Hib",2019,1,"IND","India","","","","","","","",""
"Hib",2020,1,"IND","India","","","","","","","",""
"Hib",2021,1,"IND","India","","","","","","","",""
"Hib",2022,1,"IND","India","","","","","","","",""
"Hib",2023,1,"IND","India","","","","","","","",""
"Hib",2024,1,"IND","India","","","","","","","",""
"Hib",2025,1,"IND","India","","","","","","","",""
"Hib",2026,1,"IND","India","","","","","","","",""
"Hib",2027,1,"IND","India","","","","","","","",""
"Hib",2028,1,"IND","India","","","","","","","",""
"Hib",2029,1,"IND","India","","","","","","","",""
"Hib",2030,1,"IND","India","","","","","","","",""
"Hib",2031,1,"IND","India","","","","","","","",""
"Hib",2032,1,"IND","India","","","","","","","",""
"Hib",2033,1,"IND","India","","","","","","","",""
"Hib",2034,1,"IND","India","","","","","","","",""
"Hib",2000,2,"IND","India","","","","","","","",""
"Hib",2001,2,"IND","India","","","","","","","",""
"Hib",2002,2,"IND","India","","","","","","","",""
"Hib",2003,2,"IND","India","","","","","","","",""
"Hib",2004,2,"IND","India","","","","","","","",""
"Hib",2005,2,"IND","India","","","","","","","",""
"Hib",2006,2,"IND","India","","","","","","","",""
"Hib",2007,2,"IND","India","","","","","","","",""
"Hib",2008,2,"IND","India","","","","","","","",""
"Hib",2009,2,"IND","India","","","","","","","",""
"Hib",2010,2,"IND","India","","","","","","","",""
"Hib",2011,2,"IND","India","","","","","","","",""
"Hib",2012,2,"IND","India","","","","","","","",""
"Hib",2013,2,"IND","India","","","","","","","",""
"Hib",2014,2,"IND","India","","","","","","","",""
"Hib",2015,2,"IND","India","","","","","","","",""
"Hib",2016,2,"IND","India","","","","","","","",""
"Hib",2017,2,"IND","India","","","","","","","",""
"Hib",2018,2,"IND","India","","","","","","","",""
"Hib",2019,2,"IND","India","","","","","","","",""
"Hib",2020,2,"IND","India","","","","","","","",""
"Hib",2021,2,"IND","India","","","","","","","",""
"Hib",2022,2,"IND","India","","","","","","","",""
"Hib",2023,2,"IND","India","","","","","","","",""
"Hib",2024,2,"IND","India","","","","","","","",""
"Hib",2025,2,"IND","India","","","","","","","",""
"Hib",2026,2,"IND","India","","","","","","","",""
"Hib",2027,2,"IND","India","","","","","","","",""
"Hib",2028,2,"IND","India","","","","","","","",""
"Hib",2029,2,"IND","India","","","","","","","",""
"Hib",2030,2,"IND","India","","","","","","","",""
"Hib",2031,2,"IND","India","","","","","","","",""
"Hib",2032,2,"IND","India","","","","","","","",""
"Hib",2033,2,"IND","India","","","","","","","",""
"Hib",2034,2,"IND","India","","","","","","","",""
"Hib",2000,3,"IND","India","","","","","","","",""
"Hib",2001,3,"IND","India","","","","","","","",""
"Hib",2002,3,"IND","India","","","","","","","",""
"Hib",2003,3,"IND","India","","","","","","","",""
"Hib",2004,3,"IND","India","","","","","","","",""
"Hib",2005,3,"IND","India","","","","","","","",""
"Hib",2006,3,"IND","India","","","","","","","",""
"Hib",2007,3,"IND","India","","","","","","","",""
"Hib",2008,3,"IND","India","","","","","","","",""
"Hib",2009,3,"IND","India","","","","","","","",""
"Hib",2010,3,"IND","India","","","","","","","",""
"Hib",2011,3,"IND","India","","","","","","","",""
"Hib",2012,3,"IND","India","","","","","","","",""
"Hib",2013,3,"IND","India","","","","","","","",""
"Hib",2014,3,"IND","India","","","","","","","",""
"Hib",2015,3,"IND","India","","","","","","","",""
"Hib",2016,3,"IND","India","","","","","","","",""
"Hib",2017,3,"IND","India","","","","","","","",""
"Hib",2018,3,"IND","India","","","","","","","",""
"Hib",2019,3,"IND","India","","","","","","","",""
"Hib",2020,3,"IND","India","","","","","","","",""
"Hib",2021,3,"IND","India","","","","","","","",""
"Hib",2022,3,"IND","India","","","","","","","",""
"Hib",2023,3,"IND","India","","","","","","","",""
"Hib",2024,3,"IND","India","","","","","","","",""
"Hib",2025,3,"IND","India","","","","","","","",""
"Hib",2026,3,"IND","India","","","","","","","",""
"Hib",2027,3,"IND","India","","","","","","","",""
"Hib",2028,3,"IND","India","","","","","","","",""
"Hib",2029,3,"IND","India","","","","","","","",""
"Hib",2030,3,"IND","India","","","","","","","",""
"Hib",2031,3,"IND","India","","","","","","","",""
"Hib",2032,3,"IND","India","","","","","","","",""
"Hib",2033,3,"IND","India","","","","","","","",""
"Hib",2034,3,"IND","India","","","","","","","",""
"Hib",2000,4,"IND","India","","","","","","","",""
"Hib",2001,4,"IND","India","","","","","","","",""
"Hib",2002,4,"IND","India","","","","","","","",""
"Hib",2003,4,"IND","India","","","","","","","",""
"Hib",2004,4,"IND","India","","","","","","","",""
"Hib",2005,4,"IND","India","","","","","","","",""
"Hib",2006,4,"IND","India","","","","","","","",""
"Hib",2007,4,"IND","India","","","","","","","",""
"Hib",2008,4,"IND","India","","","","","","","",""
"Hib",2009,4,"IND","India","","","","","","","",""
"Hib",2010,4,"IND","India","","","","","","","",""
"Hib",2011,4,"IND","India","","","","","","","",""
"Hib",2012,4,"IND","India","","","","","","","",""
"Hib",2013,4,"IND","India","","","","","","","",""
"Hib",2014,4,"IND","India","","","","","","","",""
"Hib",2015,4,"IND","India","","","","","","","",""
"Hib",2016,4,"IND","India","","","","","","","",""
"Hib",2017,4,"IND","India","","","","","","","",""
"Hib",2018,4,"IND","India","","","","","","","",""
"Hib",2019,4,"IND","India","","","","","","","",""
"Hib",2020,4,"IND","India","","","","","","","",""
"Hib",2021,4,"IND","India","","","","","","","",""
"Hib",2022,4,"IND","India","","","","","","","",""
"Hib",2023,4,"IND","India","","","","","","","",""
"Hib",2024,4,"IND","India","","","","","","","",""
"Hib",2025,4,"IND","India","","","","","","","",""
"Hib",2026,4,"IND","India","","","","","","","",""
"Hib",2027,4,"IND","India","","","","","","","",""
"Hib",2028,4,"IND","India","","","","","","","",""
"Hib",2029,4,"IND","India","","","","","","","",""
"Hib",2030,4,"IND","India","","","","","","","",""
"Hib",2031,4,"IND","India","","","","","","","",""
"Hib",2032,4,"IND","India","","","","","","","",""
"Hib",2033,4,"IND","India","","","","","","","",""
"Hib",2034,4,"IND","India","","","","","","","",""
"Hib",2000,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2022,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2028,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2029,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2030,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2031,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2032,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2033,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2034,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2000,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2022,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2028,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2029,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2030,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2031,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2032,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2033,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2034,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2000,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,2,"ETH","Ethiopia","","","","","","","",""
